exchange_nr,source,company,means_of_exchange,ship_captain,orig_date_src,orig_yr,orig_date,orig_exact_date_yn,orig_loc_port_arch,orig_loc_region_arch,orig_loc_port_modern,orig_loc_region_modern,orig_loc_lat,orig_loc_long,dest_date_src,dest_yr,dest_date,dest_exact_date_yn,dest_loc_port_arch,dest_loc_region_arch,dest_loc_port,dest_loc_region,dest_loc_lat,dest_loc_long,textile_quantity,textile_unit,els_per_ps,supplier,textile_category,textile_subcategory,textile_name,textile_modifier_fulltext,textile_color_arch,textile_color_inf,textile_pattern_arch,textile_process_arch,textile_fiber_arch,textile_geography_arch,textile_quality_arch,textile_other_unknown_arch,textile_quality_inferred,ship_doc_total_arch,shipment_total_value,shipment_currency,total_value_guldens,total_value_stuivers,total_value_penningen,total_value_currency,total_value_other,ps_value_gulden,ps_value_stuivers,ps_value_penningen,ps_value_currency,additional_text_from_doc,notes_other,Header Explanations:,https://docs.google.com/document/d/1W-NAkej9EjnrHQ8eWbuQmRMpPWRRxE5yiBXP4A7atO4/edit?usp=sharing
2003144,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,NA,NA,NA,NA,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,28,ps.,NA,NA,NA,NA,armosynen,dubbele Bengaals,NA,NA,NA,NA,NA,Bengal,NA,double,NA,"224221,14,8","224221,14,8",Indian Guilders,301,0,0,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003133,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,NA,NA,NA,NA,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,500,ps.,NA,NA,NA,NA,baftas,zwart smal Surats,black,NA,NA,NA,NA,Surat,NA,narrow,NA,"224221,14,8","224221,14,8",Indian Guilders,792,6,0,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003132,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,Jakarta,"Java, Indonesia",-6.1804,106.8283,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,2160,ps.,NA,NA,NA,NA,baftas,zwart breed Surats,black,NA,NA,NA,NA,Surat,NA,wide,NA,"224221,14,8","224221,14,8",Indian Guilders,6971,2,8,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003124,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,Jakarta,"Java, Indonesia",-6.1804,106.8283,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,320,ps.,NA,NA,NA,NA,baftas,blauw Kust,blue,NA,NA,NA,NA,Coast (presumed Coromandel),NA,NA,NA,"224221,14,8","224221,14,8",Indian Guilders,1965,8,0,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003123,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,Jakarta,"Java, Indonesia",-6.1804,106.8283,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,100,ps.,NA,NA,NA,NA,bethilles,blauw Kust,blue,NA,NA,NA,NA,Coast (presumed Coromandel),NA,NA,NA,"224221,14,8","224221,14,8",Indian Guilders,514,0,0,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003134,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,Jakarta,"Java, Indonesia",-6.1804,106.8283,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,1920,ps.,NA,NA,NA,NA,chintz,ordinaris Surats,NA,NA,NA,NA,NA,Surat,ordinary,NA,NA,"224221,14,8","224221,14,8",Indian Guilders,5063,19,0,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003128,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,Jakarta,"Java, Indonesia",-6.1804,106.8283,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,200,ps.,NA,NA,NA,NA,chintz,Bengaals,NA,NA,NA,NA,NA,Bengal,NA,NA,NA,"224221,14,8","224221,14,8",Indian Guilders,665,7,8,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003135,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,Jakarta,"Java, Indonesia",-6.1804,106.8283,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,120,ps.,NA,NA,NA,NA,dekens,Surats,NA,NA,NA,NA,NA,Surat,NA,NA,NA,"224221,14,8","224221,14,8",Indian Guilders,747,10,8,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003142,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,Jakarta,"Java, Indonesia",-6.1804,106.8283,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,6,ps.,NA,NA,NA,NA,doek,grauw,grey,NA,NA,NA,NA,NA,NA,NA,NA,"224221,14,8","224221,14,8",Indian Guilders,120,0,0,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003129,bgb_16778,VOC,"Abbekerk, Huis ter Leede, Uitgang",NA,doc,1722,1722-01-27,y,Batavia,Batavia,Jakarta,"Java, Indonesia",-6.1804,106.8283,est,1722,NA,n,Banda-Neira,Spice Islands,Banda-Neira,"Maluku, Indonesia",-4.5549,129.8575,300,ps.,NA,NA,NA,NA,dungarees,Bengaals,NA,NA,NA,NA,NA,Bengal,NA,NA,NA,"224221,14,8","224221,14,8",Indian Guilders,540,9,0,Indian Guilders,NA,NA,NA,NA,NA,NA,NA,NA,NA
